body,rate,likes,dislikes,created_at,is_buyer,product_id,clean_body,word_count,char_len,unique_word_ratio,emoji_count,hour,dayofweek,iso_score,lof_score,knn_dist,ensemble_score,ocsvm_score,ae_score,threshold_Isolation,is_outlier_Isolation,threshold_LOF,is_outlier_LOF,threshold_KNN,is_outlier_KNN,threshold_Ensemble,is_outlier_Ensemble,threshold_OneClassSVM,is_outlier_OneClassSVM,threshold_Autoencoder,is_outlier_Autoencoder,votes,is_outlier_consensus,explain
"ساقاش به بزرگی تو عکس نیست ولی کوتاهم نیست متوسطه و خرید محصول را توصیه میکنم

با توجه به جنس پلاستیکی که بکار رفته ولی خوب و خوش پاس",0.0,0,0,,True,3886298,ساقاش به بزرگی تو عکس نیست ولی کوتاهم نیست متوسطه و خرید محصول را توصیه می کنم با توجه به جنس پلاستیکی که بکار رفته ولی خوب و خوش پاس,30,133,0.8666666666666667,0,-1,-1,-0.02716391302991128,-5161120850.737688,6.545775746832012,0.3428214018373068,-6.324061512665569,0.18863995723556526,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
کتاب خوبیه و تعریفش رو زیاد شنیدم ولی کاغذش سفید و با کیفیت نبود ولی متن قوی داره,0.0,0,0,,True,3838328,کتاب خوبیه و تعریفش رو زیاد شنیدم ولی کاغذش سفید و با کیفیت نبود ولی متن قوی داره,18,81,0.8888888888888888,0,-1,-1,-0.03294237688873003,-5161120850.587611,5.93873907773789,0.322723379691126,-6.879789732708511,0.23084023397820286,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
عالی بود  ارزش خرید داره ,4.0,0,0,,True,1697380,عالی بود ارزش خرید داره,5,23,1.0,0,-1,-1,-0.002277279961449552,-5161120850.7999115,2.706699222655204,0.35799819549221595,0.00031682533908394817,0.028983115093704537,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
در کل خوب بود بسته بندی شیکی ام داشت ممنون,4.0,1,0,,True,1937959,در کل خوب بود بسته بندی شیکی ام داشت ممنون,10,42,1.0,0,-1,-1,-0.005443551958132897,-5161120851.222679,5.674593192915582,0.3834923617881805,-1.624484151697951,0.19664954456074474,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
"خوبه           
راضیییییییییییییییییییییییییییی







              
راضی ام    
",4.0,0,0,,True,2492739,خوبه راضی راضی ام,4,17,0.75,0,-1,-1,-0.025675894710961045,28270891191.651638,4.179001505360402,0.5838633849358456,-1.4965387164352784,0.04862334113863619,-0.026092218604481743,1,-5161120849.822901,1,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,تأیید چند مدل: Isolation، LOF، Ensemble
عالیه این کتاب,5.0,0,0,,True,377020,عالیه این کتاب,3,14,1.0,0,-1,-1,-0.010306167916807996,-5161120851.231578,0.0,0.30946370904632564,-1.2104380656426184,0.00881915132885813,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
خیلی خوب است,5.0,0,0,,True,6892775,خیلی خوب است,3,12,1.0,0,-1,-1,-0.010718268861489688,-5161120851.231578,0.0,0.3085092322966248,-3.093750531135697e-05,0.037368830974995944,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
بد نبود معمولی ,3.0,0,0,,True,2824636,بد نبود معمولی,3,14,1.0,0,-1,-1,-0.00930572793569906,-5161120851.233443,1.5308431034284917,0.32871338796621197,-0.10899256884498598,0.046800439373230585,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
با کیفیت و ارزش خرید داره,3.0,0,1,,True,622565,با کیفیت و ارزش خرید داره,6,25,1.0,0,-1,-1,-0.01985487557610166,-5161120849.962945,5.049575450931311,0.3432006816342405,0.19937272038709075,0.021212752903242205,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، KNN، Ensemble، OneClassSVM
"خیلی خوب بود
قیمتش واقعا عالی بود
کیفیت ۲۰",5.0,0,0,,True,3459658,خیلی خوب بود قیمتش واقعا عالی بود کیفیت,8,39,0.875,0,-1,-1,-0.027988133175054164,-5161120850.907829,5.896875017257063,0.33373496567946476,-5.041004006759813,0.2669713541637149,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
"شاید این کتاب رو خیلی ها بپسندند
و انصافا من از یه بخش هاییش خوشم اومد

اما اگر شکست عشقی خوردین، دنبال کتاب های روانشناسی بگردین به نظرم بهتره
چون این کتاب متاسفانه خیلی از خاطرات بد گذشته ی من رو برام دوباره مرور کرد و خیلی خوندنش فایده خاصی برام نداشت

کتاب های خانم دکتر دی آنجلیس به نظرم خیلی پیشنهاد بهتری هستش",0.0,0,2,,True,939633,شاید این کتاب رو خیلی ها بپسندند و انصافا من از یه بخش هاییش خوشم اومد اما اگر شکست عشقی خوردین دنبال کتاب های روانشناسی بگردین به نظرم بهتره چون این کتاب متاسفانه خیلی از خاطرات بد گذشته ی من رو برام دوباره مرور کرد و خیلی خوندنش فایده خاصی برام نداشت کتاب های خانم دکتر دی آنجلیس به نظرم خیلی پیشنهاد بهتری هستش,64,313,0.765625,0,-1,-1,-0.013151717847179445,-5161120851.082803,5.478287637611651,0.36346797593089053,-4.322278546606869,0.042205601603822425,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
عالیه، با کیفیت و در بسته بندی خوب,4.6,0,0,,True,2724511,عالیه با کیفیت و در بسته بندی خوب,8,33,1.0,0,-1,-1,-0.0054645171561606976,-5161120851.23675,2.9682645720111545,0.3535093139358616,-0.3664863430787708,0.03407472918488265,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
قبل از خرید این میکروفون خیلی تردید داشتم. اما وقتی به دستم رسید و تستش کردم کیفیت صدا واقعا خوب و قابل قبول بود. تو محیط باز و با فاصله از گوشی هم تست کردم صداش خوب بود. همراه میکروفون دو تا کابل هست یکی برای اتصال به دوربین و یکی برای اتصال به گوشی. من اول اشتباه وصل کردم و کار نمیکرد بعد متوجه شد. تو فیلم میتونید کیفیت صدا رو ببینید.,5.0,15,1,,True,8135630,قبل از خرید این میکروفون خیلی تردید داشتم اما وقتی به دستم رسید و تستش کردم کیفیت صدا واقعا خوب و قابل قبول بود تو محیط باز و با فاصله از گوشی هم تست کردم صداش خوب بود همراه میکروفون دو تا کابل هست یکی برای اتصال به دوربین و یکی برای اتصال به گوشی من اول اشتباه وصل کردم و کار نمی کرد بعد متوجه شد تو فیلم میتونید کیفیت صدا رو ببینید,74,333,0.7432432432432432,0,-1,-1,-0.005407241060343404,-5161120851.110301,6.008373179442117,0.38726837672452225,-2.5089506168601226,0.104177318131914,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,4,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
بسیار عالیه,2.0,0,0,,True,1828541,بسیار عالیه,2,11,1.0,0,-1,-1,-0.08388076288482049,3612784595.8253717,1.4193082340887708,0.2239796862960178,-1.1851164652707915,0.9832773248224426,-0.026092218604481743,0,-5161120849.822901,1,4.837440385719104,0,0.3058137995774459,0,-1.2731907886072822,1,0.0988718018507556,1,3,1,طول متن غیرمعمول (2 کلمه)؛ نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: LOF، OneClassSVM، Autoencoder
"نسبت به قیمتش خوب بود

نسبت به قیمتش خوب بود",4.0,0,0,,True,8302160,نسبت به قیمتش خوب بود نسبت به قیمتش خوب بود,10,43,0.5,0,-1,-1,-0.04201513890682329,-5161120850.783525,5.754173400878407,0.29966827432577586,-0.20073827800585065,0.2886090304240557,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,0,-1.2731907886072822,1,0.0988718018507556,1,3,1,تأیید چند مدل: KNN، OneClassSVM، Autoencoder
"با توجه به کامنت های منفی ای که ازش خوندم خریدمش فقط جهت تست
به نظر من خیلی عالیه / و باید ببینین به پوستتون میخوره و می سازه یا نه 
با پوست من سازگار بود و من خیلی خوشم اومد با وجود اینکه اولین بار بود که از برد ایرانی استفاده کردم ،راضی بودم و حتما مجدد شارژ میکنم. 
فقط یک نکته به درد ارایش روزانه  و معمولی میخوره نه مهمونی یا قرارای خاص
من خودم سبزه هستم رنگ پنکک ۴۰ یه کوچولو برنزی داره یعنی تیره است من میپسندم اما اگه نمیخواین تیره بشین یه شماره روشنتر بگیرین
از شرکت سازنده اش هم ممنونم بابت تولید این محصول",0.0,4,0,,True,130634,با توجه به کامنت های منفی ای که ازش خوندم خریدمش فقط جهت تست به نظر من خیلی عالیه و باید ببینین به پوستتون میخوره و می سازه یا نه با پوست من سازگار بود و من خیلی خوشم اومد با وجود اینکه اولین بار بود که از برد ایرانی استفاده کردم راضی بودم و حتما مجدد شارژ می کنم فقط یک نکته به درد ارایش روزانه و معمولی میخوره نه مهمونی یا قرارای خاص من خودم سبزه هستم رنگ پنکک یه کوچولو برنزی داره یعنی تیره است من می پسندم اما اگه نمیخواین تیره بشین یه شماره روشنتر بگیرین از شرکت سازنده اش هم ممنونم بابت تولید این محصول,110,508,0.7727272727272727,0,-1,-1,-0.02788945208904553,-5161120850.982012,5.264495262335335,0.3269688201153465,-3.169863405464385,0.15646009262746682,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,طول متن غیرمعمول (110 کلمه)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
من این ضد آفتاب رو چند سالی میشه که استفاده می کنم و خیلی ازش راضی هستم، البته هیچ وقت از دیجی کالا نخریدم چون فکر نمیکردم داشته باشه. بعضی ها از آبکی بودن این ضد آفتاب ناراضی بودند. آخه دوستان عزیز، روش نوشته که فلووییده نه کرم. اگه دوست داشتید آبکی نباشه باید نوع کرمی رو خریداری می کردید. آخه چرا ایراد الکی میگیرید و بقیه رو گمراه می کنید.,4.75,28,3,,False,226782,من این ضد آفتاب رو چند سالی میشه که استفاده می کنم و خیلی ازش راضی هستم البته هیچ وقت از دیجی کالا نخریدم چون فکر نمی کردم داشته باشه بعضی ها از آبکی بودن این ضد آفتاب ناراضی بودند آخه دوستان عزیز روش نوشته که فلووییده نه کرم اگه دوست داشتید آبکی نباشه باید نوع کرمی رو خریداری می کردید آخه چرا ایراد الکی می گیرید و بقیه رو گمراه می کنید,73,338,0.821917808219178,0,-1,-1,-0.028333839564563812,-5161120851.202016,5.3114246241494305,0.32645864577773015,-0.6616769930725699,0.11717002602878465,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,1,4,1,تأیید چند مدل: KNN، Ensemble، OneClassSVM، Autoencoder
بسیار ظریف و زیبا و سبک کاملا مناسب و خوش استایل و شیشه رنگی بسیار با کیفیت واقعا عالی بود و جعبه هم داشت در کل مشابه ریبن اصل هست واقعا در این حد قیمت کیفیت کار عالی بود,4.0,0,0,,True,2920097,بسیار ظریف و زیبا و سبک کاملا مناسب و خوش استایل و شیشه رنگی بسیار با کیفیت واقعا عالی بود و جعبه هم داشت در کل مشابه ریبن اصل هست واقعا در این حد قیمت کیفیت کار عالی بود,39,170,0.7435897435897436,0,-1,-1,-0.03863063431652408,-5161120850.508823,7.104998119879963,0.32244857239039504,-6.4740055622011425,0.20783647681611167,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,1,3,1,تأیید چند مدل: KNN، Ensemble، Autoencoder
خوش بو قیمت مناسب,0.0,0,0,,True,5861038,خوش بو قیمت مناسب,4,17,1.0,0,-1,-1,-0.0009237008745864306,-5161120851.231191,4.015039675508478,0.3756047037787549,0.5405067028218857,0.0531980496616381,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، Ensemble، OneClassSVM
کیفیت با توجه به قیمت مناسب، توصیه میکنم.,3.0,0,0,,True,2594685,کیفیت با توجه به قیمت مناسب توصیه می کنم,9,40,1.0,0,-1,-1,-0.03219777168347354,-5161120851.216648,5.09115259510271,0.3150728894246266,-0.5703936697836642,0.030729451386849432,-0.026092218604481743,0,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: KNN، Ensemble، OneClassSVM
با توجه به قبمتش خیلی خوبه ,4.0,0,0,,True,3447048,با توجه به قبمتش خیلی خوبه,6,26,1.0,0,-1,-1,-0.01751555844555608,-5161120849.504686,4.409157424043327,0.34153521553875144,1.174316266627784e-05,0.03531146718413566,-0.026092218604481743,1,-5161120849.822901,1,4.837440385719104,0,0.3058137995774459,1,-1.2731907886072822,1,0.0988718018507556,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، Ensemble، OneClassSVM
این کتاب به همراه CD هست که حتی شکل CD هم در تصویری که دیجی کالا ارائه داده هست اما کتاب بدون سی دی به دست من رسید، با توجه به اینکه مبلغ کتاب هم اینجا در دیجی کالا خیلی از سایت های دیگه گرونتره‌. هم گرونتره و هم سی دی که باید داشته باشه رو نداره!!,1.0,1,0,,True,3622961,این کتاب به همراه CD هست که حتی شکل CD هم در تصویری که دیجی کالا ارائه داده هست اما کتاب بدون سی دی به دست من رسید با توجه به اینکه مبلغ کتاب هم اینجا در دیجی کالا خیلی از سایت های دیگه گرونتره هم گرونتره و هم سی دی که باید داشته باشه رو نداره,57,243,0.7017543859649122,0,-1,-1,-0.00797627121763056,-5161120850.912536,6.017101300996318,0.38141472625868506,-4.2744218786330155,0.09023707583665783,-0.026092218604481743,1,-5161120849.822901,0,4.837440385719104,1,0.3058137995774459,1,-1.2731907886072822,0,0.0988718018507556,0,3,1,امتیاز افراطی (1.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
